Count,Street Address,City,State,Zip,Status,Category,Summary,Description,Created Date,Closed Date,Days to Acknowledged,Days to Closed,Reported Via Mobile App,Report ID
"1","83 Bellingham St","Chelsea","MA","2150","Archived","Graffiti on Private Property","Graffiti-Private Property","75 bellingham st front pf property needs to be clean and cut grass.","2011-09-27","09/28/2011","0.0333","1.025","Yes","128548"
"1","152 Central Ave","Chelsea","MA","2150","Archived","Graffiti on Private Property","Graffiti-Private Property","One stop convenience store,corner of central ave and highland","2011-09-27","09/28/2011","0.034","1.0319","Yes","128542"
"1","Guam Rd","Chelsea","MA","2150","Archived","Pothole","HUGE pothole","This is the biggest pothole ever, my entire car went into it, and there is no avoiding it since its so huge.","2011-10-04","10/11/2011","0.8771","7.0375","No","130366"
"1","9 Addison Street","Chelsea","MA","2150","Archived","Street lights","street light not working","pole #32-2, street light not working","2011-10-06","10/11/2011","4.616","4.6354","No","131095"
"1","75 Shawmut St","Chelsea","MA","2150","Archived","Other","Storm Drains","I just wanted to let someone know about two storm drains at the intersection of Shawmut st. and Maverick st. It seems that every time it rains both of these storm drains are flooded. I was wondering if they can send someone to check them out as soon as possible.","2011-10-19","01/03/2012","6.8181","75.8917","No","133912"
"1","210 Williams St","Chelsea","MA","2150","Archived","Street signs","Walk signal every traffic cycle whether ped crossing button pressed or not","Since beginning of Oct, there is a walk signal (all ways) after every two car traffic lights, whether ped crossing button is pressed or not.","2011-10-06","10/25/2011","0","18.8479","No","131027"
"1","Elridge Place","Chelsea","MA","2150","Archived","Trash on Public Property","Barrels remain from last week","2 trash barrels were never retreived from last Tues. p/u. - this is EVERY week! Also an air conditioner was dumped beside the barrels. Phoned it in Friday 10/21.","2011-10-22","11/08/2011","3.5319","16.4764","No","134570"
"1","Cook Ave","Chelsea","MA","2150","Archived","Other","Excise Tax Evasion","Everett residents have taken over Cook Ave, Brook St, & Springsvale Ave. They are parking in Chelsea for free, not paying excise tax to Chelsea, so they don't have to pay excise to Everett or pay for a resident parking sticker!","2011-10-06","06/11/2013","11.9875","614.3958","No","130845"
"1","6 Hillside Avenue (Attic)","Chelsea","MA","2150","Archived","Other","Raccons living there","Raccons living there coming in and out of a broken window. People living there don´t care but neighbours are worried and scared.","2011-10-15","11/09/2011","2.6931","25.0326","No","133122"
"1","121-123 Marlborough St","Chelsea","MA","2150","Archived","Street lights","Street lights","Street lighting is been out of for more than 2 weeks .. Thank you.Mike Sandoval","2011-10-19","11/08/2011","0.041","20.2146","Yes","133773"
"1","140 Shurtleff St","Chelsea","MA","2150","Archived","Code Enforcement Issues -- Private Property","Code Enforcement Issues -- Private Property","Cracked facaed on front entrance..Thanks; Mike S","2011-10-23","06/13/2013","80.0986","598.8125","Yes","134617"
"1","140 Shurtleff St","Chelsea","MA","2150","Archived","Business Impacts in Neighborhoods","Business Impacts in Neighborhoods","Abandoned mopeds on sidewalk ..no rear wheels on back..thanks ; Mike S","2011-10-23","12/09/2011","2.8701","46.7813","Yes","134618"
"1","GUAM RD","Chelsea","MA","2150","Archived","Other","RD DIPS DOWN UNEVEN","ROAD IS UNEVEN NEED TO BE FIXED","2011-10-25","11/08/2011","0.8868","13.9556","No","135070"
"1","95 Hawthorne St","Chelsea","MA","2150","Archived","Graffiti on Private Property","Graffiti-Private Property","Graffiti at 160 Park St","2011-11-02","06/13/2013","6.0715","589.0632","Yes","136616"
"1","7 Chester Ave","Chelsea","MA","2150","Archived","Street signs","Street signs","135 Hawthorne st looese parking meter ..please cement it back down ...Mike S","2011-10-23","11/08/2011","2.8639","15.8167","Yes","134621"
"1","164-198 Arlington St","Chelsea","MA","2150","Archived","Other","Sewer needs cleanout due to smell","0","2011-11-08","11/09/2011","0","1.2361","Yes","137939"
"1","144 Shurtleff St","Chelsea","MA","2150","Archived","Graffiti on Private Property","Graffiti-Private Property","8 Chester Ave D'Amicos property graffiti written outside 2 floor windows..Mike S","2011-10-23","06/13/2013","2.8667","598.8069","Yes","134620"
"1","168 Pearl St","Chelsea","MA","2150","Archived","Graffiti on Private Property","Graffiti-Private Property","165 Pearl st graffiti st corner of building ..thanks; Mike S","2011-10-23","06/11/2013","2.8313","597.1632","Yes","134629"
"1","245 Webster Ave","Chelsea","MA","2150","Archived","Other","Left Turn Signal","It would be really beneficial to have a left turn signal for traffic turning left onto route 16 from Webster Ave. That intersection is really dangerous because of the timed light, and it would be helpful to have a turn signal.","2011-11-08","12/09/2011","1.1361","30.7792","No","137987"
"1","34 fremont ave","Chelsea","MA","2150","Archived","Pothole","sinkhole developing","0","2011-11-08","12/07/2011","0.8569","28.5236","No","138135"
"1","Bell St","Chelsea","MA","2150","Archived","Pothole","Pothole repair","Pot Holes Pot Holes and uneven street pavement","2011-12-05","12/09/2011","0.7708","3.4771","No","143246"
"1","65 Shurtleff St","Chelsea","MA","2150","Archived","Street lights","Street lights","Burnt out light bulb.right at corner of 75 Congress Ave.across from early learning center.2nd pole from Hawthorn st corner .Thanks. Mike S","2011-11-21","12/07/2011","14.9424","15.6486","Yes","140559"
"1","70 Bellingham Street","Chelsea","MA","2150","Archived","Code Enforcement Issues -- Private Property","Trash Being Dumped","Trash is being dumped in front of 70 Bellingham Street on weekends. The trash makes a mess when its not trash day pickup. Its been happening for the past 2 weeks.","2011-11-14","12/09/2011","1.9667","24.7819","No","139158"
"1","122 Central Ave","Chelsea","MA","2150","Archived","Trash on Public Property","Trash on Public Property","Trash inside salt barrels on side grocery store","2011-11-12","12/06/2011","0","23.8632","Yes","138905"
"1","280 2nd St","Chelsea","MA","2150","Archived","Pothole","the condition of this road is treacherous. The pot holes cause breakdowns and property damage.","0","2011-11-18","12/06/2011","18.2139","18.2458","No","139995"
"1","sagamore ave","Chelsea","MA","2150","Archived","Pothole","Pothole repair","next to fire station in front of the garage the street need to be paved. The ruts are unbearable. Thank you","2011-12-05","12/09/2011","0.7743","3.484","No","143240"
"1","Central Ave @ Chelsea Garage","Chelsea","MA","2150","Archived","Other","Missing ""A"" on welcome to chelsea sign","Missing ""a"" on the sign at the central ave garage.","2011-12-09","02/10/2012","2.9979","62.9299","Yes","143976"
"1","washington ave rr bridge","Chelsea","MA","2150","Archived","Trash on Public Property","debris and litter","The mad vac should clean up this every week, It's really a mess from the corner of Heard to 64 Washington Ave.","2011-12-12","12/13/2011","0.1514","0.9556","No","144265"
"1","28-48 Webster Ave","Chelsea","MA","2150","Archived","Code Enforcement Issues -- Private Property","Code Enforcement Issues -- Private Property","Car up on jacks at the corner of Spencer and Webster on Spencer for over a week now. Blue Nissan with black wheels.","2011-12-19","12/20/2011","0","0.7056","Yes","145717"
"1","Washington Ave","Chelsea","MA","2150","Archived","Pothole","Horrible","this street is horrible","2011-12-20","12/20/2011","0","0.0049","No","145866"
"1","77 carroll st","Chelsea","MA","2150","Archived","Street lights","inoperative street light","overhaed street light is not working","2011-12-21","01/03/2012","0.525","12.7028","No","146086"
"1","39 winnisimmet st #8","Chelsea","MA","2150","Archived","Pothole","2 potholes in center of street","1 small & 1 medium size holes on Winnisimmet St. close to entrance to #37-39 parking lot.","2012-01-11","01/23/2012","6.1785","11.9118","No","149959"
"1","Adamski Memorial Hwy","Chelsea","MA","2150","Archived","Pothole","Hole in onramp","There is an ever increasing hole, almost the length of the entire on-ramp. I expect that if we happen to get any snow this winter there will be many flat tires from this issue!","2012-01-14","01/24/2012","3.3243","10.1472","No","150562"
"1","135 orange street","Chelsea","MA","2150","Archived","Pothole","hole","saw a pothole in front of house, not sure if repaired","2012-01-06","01/10/2012","0","4.4736","No","148861"
"1","112 Shurtleff St","Chelsea","MA","2150","Archived","Graffiti on Private Property","Graffiti-Private Property","Tagged masonry","2011-12-21","06/27/2012","20.8903","188.7583","Yes","146068"
"1","Blossom St","Chelsea","MA","2150","Archived","Pothole","large pothole","very large pothole at the area where Blossom crosses over Maple St.","2012-01-01","01/04/2012","0","2.5146","No","147859"
"1","143 Franklin Ave","Chelsea","MA","2150","Archived","Pothole","Pothole","This as well as two smaller potholes are located in front of 143 Franklin ave.","2012-02-03","02/07/2012","0","4.309","Yes","154920"
"1","957 Broadway","Chelsea","MA","2150","Archived","Pothole","Pothole","potholes and uneven pavement throughout broadway. Please fix it! The uneven pavement and potholes make the trips to mechanic more frequent","2012-01-24","02/07/2012","5.5542","13.8458","Yes","152766"
"1","Chelsea Walk Pub Broadway @ Chelsea walkway","Chelsea","MA","2150","Archived","Trash on Private Property","Dity, dirty dirty all the time. cigarette butts galore","Disgraceful non-upkeep by bar owner.patorns leave a mess. always lots of cigarette butts left on the ground, food wrappers etc. Urine in the corners.","2012-02-15","03/09/2012","20.159","23.0194","No","157447"
"1","131-199 Revere Beach Pkwy","Chelsea","MA","2150","Archived","Street lights","Street lights","About two thirds of the street lights on route 16 between everett and Webster are out. Don't know how to communicate this to the state. Too numerous to pull pole numbers.","2012-02-16","04/09/2012","0.4819","52.2924","Yes","158046"
"1","2nd St","Chelsea","MA","2150","Archived","Pothole","Please fill it","On 2nd St, about 50 yards up from Spruce St. heading to Everett","2012-01-26","02/07/2012","3.6701","11.9611","No","153313"
"1","410 Washington Ave","Chelsea","MA","2150","Archived","Pothole","Pothole","Two potholes on Washington Ave. after the park","2012-01-28","02/07/2012","1.6694","9.9604","Yes","153709"
"1","195 cottage street","Chelsea","MA","2150","Archived","Pothole","in front of 195 cottage st","one foot deep pothole","2012-01-30","02/09/2012","0.0278","9.7146","No","154036"
"1","21-45 Washington Ave","Chelsea","MA","2150","Archived","Street lights","Street lights","Burnt out Street Light at 231 Shurtleff St","2012-03-12","03/28/2012","0.7632","15.4771","Yes","164797"
"1","50 Winnisimmet St","Chelsea","MA","2150","Archived","Trash on Private Property","Silver Spoon Property","Trash in the parking lot on the sidewalk of this property. Needs weekly maintenance my owner.","2012-03-14","06/27/2012","0","105.0618","No","165317"
"1","Everett Ave","Chelsea","MA","2150","Archived","Other","Multiple Issues","The road here is in need of repair. The stretch from in front of Market Basket has to be the worst road in the city. Also, the unprotected lefts at the intersection is very dangerous.","2012-03-09","03/12/2012","0","2.8667","No","164004"
"1","50 Winnisimmet St","Chelsea","MA","2150","Archived","Graffiti on Private Property","Silver Spoon Property","Graffiti on front and side of the building.","2012-03-14","06/27/2012","0","105.0618","No","165318"
"1","245 Webster Ave","Chelsea","MA","2150","Archived","Street lights","no left green arrow light","No left green arrow ever turns on while other side cars coming straight ahead.....Cars on the other side starts to come without hesitation.... alots of problem in that intersection","2012-03-11","08/11/2014","1.8146","882.9236","No","164408"
"1","Commandants Way","Chelsea","MA","2150","Archived","Pothole","Road Sinking Around Manhole","The road has deteriorated around a manhole cover and looks to be sinking a bit. Has grown significantly over the past few weeks.","2012-03-06","03/06/2012","0","0.0285","No","163003"
"1","Revere Beach Pkwy","Chelsea","MA","2150","Archived","Pothole","Pothole please fix it...","Pothole please fix it...","2012-03-05","03/06/2012","0","0.5271","No","162925"
"1","73 Grove St","Chelsea","MA","2150","Archived","Other","Reserved Parking??","seeing more incidents on Grove St. where people are flagging other people on the streets to not park in an open spot because they are holding the spot for someone?? Isn't this Public parking...This is outrageous...Can we also get lines marked for spots seems people on Grove don't know how to park. Sometimes there are cars that take up unnecessary room and leave what could have been available parking spots for others.","2012-03-22","06/25/2013","0","459.7646","No","167968"
"1","275 washington","Chelsea","MA","2150","Archived","Other","road conditions","The conditions of the road on Washinton Ave is out of control. It need repaving and I understand we have on-going work with the sewer, water & gas works, but for how long? Cars are being dammaged.","2012-03-25","03/26/2012","0","0.7806","No","168469"
"1","corner of Washington Ave and Heard St","Chelsea","MA","2150","Archived","Street lights","light outage","The street light at the corner is not working.","2012-03-19","03/27/2012","0.0563","8.0528","No","166501"
"1","eldridge","Chelsea","MA","2150","Archived","Trash on Public Property","Barrels remain from last week","0","2012-03-23","06/27/2012","0","96.1007","No","168053"
"1","Everett Avenue","Chelsea","MA","2150","Archived","Pothole","Numerous potholes","Hello, Please resurface this entire road it is hazardous to drive over. Thank you.","2012-03-17","03/20/2012","1.8028","2.8243","No","166239"
"1","Washington Ave","Chelsea","MA","2150","Archived","Trash on Private Property","trash reported 2 months ago","64 Washington ave was not cleaned up on Chelsea clean up day last Saturday. Being as the trash was not cleaned up when first reported, I hoped this would be on the list for cleaning then. Why wasn't it and why is the condition still allowed to exist?","2012-05-04","06/27/2012","25.5924","53.6222","No","181330"
"1","Crescent ave","Chelsea","MA","2150","Archived","Street signs","speed limit","the speed limit sing at 15 crescnt ave is hanging down only for the electric cord.need inmediaty atencion.","2012-05-13","07/17/2012","11.4313","64.4778","No","184006"
"1","2-3 Eldridge Pl","Chelsea","MA","2150","Archived","Trash on Public Property","Trash on Public Property","Trash bag our out today, Monday p/u. Also barrels left out since LAST MONDAY.","2012-04-05","06/27/2012","0","82.9264","Yes","171810"
"1","486-490 Washington Ave","Chelsea","MA","2150","Archived","Pothole","Pothole","Pothole in center of street, reported already and was told it was fixed, however it was not in front of 477 Washington ave.","2012-05-05","05/30/2012","0","24.8563","Yes","181422"
"1","486-490 Washington Ave","Chelsea","MA","2150","Archived","Pothole","Pothole","hole in center of street residents complaints","2012-04-05","04/12/2012","0.8563","7.0292","Yes","171707"
"1","park street","Chelsea","MA","2150","Archived","Trash on Public Property","No Trash pick up today","I put a trash bag, in the proper orange Chelsea trash bag, on the curb in front of my apartment for pick up on Monday morn and it's still there at 6:30 pm Monday evening!","2012-04-30","05/02/2012","0","1.6417","No","179756"
"1","410 Washington ave","Chelsea","MA","2150","Archived","Pothole","Sidewalk/Roadway","Side walk is caving in. Children on bicycles can get hurt if they hit the broken sidewalk thus their bike can enter roadway without notice. The roadway itself has been patched numerous times. It needs a permanent replacement of the continous opening.","2012-03-29","04/27/2012","3.6938","28.8451","No","169889"
"1","221 Shurtleff St","Chelsea","MA","2150","Archived","Other","Bricks around base of tree","The bricks around the base of the tree in front of 221 Shurtleff St. are being pulled up (two last week and I noticed one tonight)","2012-03-30","04/19/2012","2.4451","19.7111","No","170262"
"1","1000 broadway","Chelsea","MA","2150","Archived","Other","crossing street lights","Cross walk lights do not work on this area of broadway","2012-05-24","05/25/2012","0","0.7972","No","187942"
"1","bloomingdale street","Chelsea","MA","2150","Archived","Other","feeding birds","throwing bread on the side walk","2012-06-06","06/27/2012","0","21.0069","No","192109"
"1","corner of grove and highland ave","Chelsea","MA","2150","Archived","Other","Dog poop on sidewalk and streets","Recently for past 3 weeks or more someone has been walking their dog or dogs around the corner of Highland and Grove st. leaving a mess by not picking up their dog's poop. The sidewalk and streets is littered with dog poop down to 70 grove st. I've seen the poop either be stepped on or run over by cars...The person should be fined for not picking up after their dog.","2012-06-06","06/27/2012","0","21.4229","No","191959"
"1","12 Essex St","Chelsea","MA","2150","Archived","Street lights","Parking floodlight adjusted","Floodlight for Pollo Campero Parking lot shining *directly* into windows of all apt buildings across north side of Park St. Light needs to be adjusted or shielded to shine only on parking lot.","2012-06-02","08/21/2013","0","444.5313","No","190798"
"1","890 Broadway","Chelsea","MA","2150","Archived","Street signs","15 Minute Parking sign taken down.","There were two 15 Minute Parking signs which were in place for over 20 years, some how they seems to be taken down and residents across the street park their car all day long and prevent other customers and residents from parking in front of Sully's Variety.","2012-06-04","06/29/2012","0.1701","24.9882","No","191152"
"1","275 washington ava","Chelsea","MA","2150","Archived","Other","gas service","gas service seems to be shut off due (probably) to the construction on Washngton ave. Any word on when it will com back on? It seems the workers have left for the day.","2012-06-06","06/19/2012","0","13.2694","No","192261"
"1","122 Washington Ave","Chelsea","MA","2150","Archived","Trash on Private Property","Dumpster over full","The dumpster continues to be full, tennants leave trash around the dumpster","2012-06-08","06/27/2012","0","18.55","No","193459"
"1","10 orange st","Chelsea","MA","2150","Archived","Pothole","Small sinkhole on the middle of the road","Small sinkhole across my house, in front of my neighbors driveway. Needs to be fix before car tires or anyone gets hurt. This looks like its getting big and sinking.","2012-06-22","08/06/2012","0.1222","45.1347","No","198106"
"1","43 Lambert Ave","Chelsea","MA","2150","Archived","Other","Sagamore ave. is a mess there are rails coming through the street all the way down to Washington ave. there are also loose manhole and water covers at the intersection of Lambert ave. and Sagamore ave","0","2012-06-26","10/22/2012","36.1521","118.1861","Yes","199316"
"1","high st","Chelsea","MA","2150","Archived","Street signs","high","0","2012-06-15","06/19/2012","0","4.3215","No","195897"
"1","Congress Ave","Chelsea","MA","2150","Archived","Other","RATS!","Anonymous complaint that BIG RATS are over running Congress Ave. the motion detector lights in the back yards are going off all night --PLEASE HELP ME","2012-06-21","06/27/2012","1.0278","6.0243","No","197758"
"1","Revere Beach Parkway (heading towards Medford","Chelsea","MA","2150","Archived","Street signs","Damaged One Way Sign is difficult to Read!","Hello, Please replace this One Way Entry sign, one way arrow is mangled and difficult to read. Possibly near the Dunkin Donuts strip mall. Sorry, I did not see a street sign, but this parkway is heading towards Medford, MA. Thanks!","2012-06-25","08/20/2012","0","56.2382","No","198820"
"1","109 Sagamore Ave","Chelsea","MA","2150","Archived","Street signs","Street signs","stop sign knocked over at corner of lamber ave and sagamore ave","2012-06-26","06/29/2012","0","3.1257","Yes","199312"
"1","corner of heard and Washington Ave","Chelsea","MA","2150","Archived","Other","street light out","Thanks for getting the street light fixed at the corner timely.","2012-03-26","03/27/2012","0","0.9681","No","168594"
"1","95-133 Shawmut St","Chelsea","MA","2150","Archived","Trash on Public Property","Trash on Public Property","Trash outside 31 Chester Ave.Mike Sandoval","2011-10-22","11/08/2011","3.8611","16.8083","Yes","134529"
"1","99 Shurtleff St","Chelsea","MA","2150","Archived","Graffiti on Private Property","Graffiti-Private Property","114 Shurtleff st Graffiti written on outside of building ..Thanks ;Mike S","2011-10-23","06/11/2013","2.8896","597.2222","Yes","134615"
"1","144 Shurtleff St","Chelsea","MA","2150","Archived","Trash on Public Property","Trash on Public Property","Trash bags in front of main entrance..thanks Mike S","2011-10-23","11/08/2011","2.8715","15.8208","Yes","134619"
"1","Adamski Memorial Hwy","Chelsea","MA","2150","Archived","Pothole","Holes at the top of onramp","Near the top of the on-ramp there are a few ever-increasing holes. They line up with the front and back right hand tires and are completely devoid of any concrete. If we happen to get any snow this winter there will be many flat tires from this issue! Please address the issues of this on-ramp, it will make getting onto the Tobin bridge from this entrance not feel like I'm dogging mines!!!","2012-01-14","01/24/2012","3.3201","10.1424","No","150563"
"1","Adamski Memorial Hwy","Chelsea","MA","2150","Archived","Graffiti on Public Property","Graffiti-Public Property","Tag under Tobin at 111 bus hut on Everett ave","2012-01-25","03/13/2012","0","47.7222","Yes","153105"
"1","Heard and Arlington","Chelsea","MA","2150","Archived","Street lights","Long time in need of repair","The light outside of 255 Arlington Street is the only light for residents that live in the houses closest to commuter rail. This light works at times, but usually out most of the time. Please, please repair as it is a very dark area and by virtue of close proximity to commuter rail, the area has lots of suspicious activity. We just want the light repaired to full working order to have our sense of safety returned. Please and thank you.","2012-03-01","03/28/2012","0.9424","26.9042","No","161787"
"1","6 Vila Street","Chelsea","MA","2150","Archived","Code Enforcement Issues -- Private Property","Illegal Occupation","Inspectional Services confirmed several weeks ago that the men running the car repair shop at this location do not have an occupancy license. It's also likely that they don't have a business license, a license for storing unregistered vehicles, or a license for the storage and disposal of engine fluids. The problem in Chelsea isn't a lack of laws, it's a lack of enforcement.","2012-04-24","03/21/2013","0","331.1313","No","177524"
"1","HIGH ST","Chelsea","MA","2150","Archived","Street signs","sign","high st is a dead end and has a label tha identifies all vegicles are confused and have troble going in out and damage the car that are parked st dead end please neea a sing","2012-06-11","06/19/2012","0","8.5674","No","193982"
"1","8 Washington","Chelsea","MA","2150","Archived","Trash on Public Property","Trash","Trash in front of bus stop in front of Tedescis on Washington (across from BHCC campus) and also the business next to it...gross","2012-02-14","02/15/2012","0","0.4083","No","157416"
"1","Carter Street & Northeast Expy","Chelsea","MA","2150","Archived","Other","Backed up traffic coming from US 1 Highway","An above-ground pedestrian walkway would eliminate the problem of traffic backing up all the way to the Northeast Expressway. It would also be a lot safer for Chelsea High School students if they didn't put themselves in danger by crossing the road that connects the highway and Carter street.","2012-05-24","05/25/2012","0","0.7382","No","187967"
"1","Washington Ave","Chelsea","MA","2150","Archived","Business Impacts in Neighborhoods","Parking issues on Washington Ave","With Washington Ave closed between Carmel and Cary Sq. and Spruce blocked as well, cars are being ticketed and towed and residents are forced to park many blocks from home. Is there any provision made for street cleaning tickets being waived? There just isn't enough parking for those who have weekdays off.","2012-03-29","06/20/2012","0","83.3417","No","169831"
"1","Warren Ave Chelsea","Chelsea","MA","2150","Archived","Street signs","Stop sign not always acknowledged, people speed through and I am concerned because there are a lot of kids in this area. I also think that it is dangerous for the people coming down summit because I almost had an accident because a man was spedding","Reported from my mobile device http://m.seeclickfix.com","2011-09-29","10/04/2011","0","4.4875","No","129392"
"1","34 Fremont ave","Chelsea","MA","2150","Archived","Pothole","large sinkhole developing","a sinkhole has been developing for the last 3 yrs.and leaking water into our basement.If it is not fixed soon I feel there will be infrastucture compromise","2011-10-31","11/08/2011","7.6056","7.725","No","136351"
"1","Hancock St","Chelsea","MA","2150","Archived","Other","Parking","Our street is split into two cities and two names Hamilton is in Everett where they have parking permits. Hancock in Chelsea has no parking permits. Everett residents who do not have everett permits are parking in Chelsea, often times blocking driveways, idling, and/or working on their cars. Some cars don't move for days. This is especially hard on Chelsea residents who often time cannot find parking on their own street overnight because they cannot park in Everett without a permit. We should have parking permits for Chelsea residents in this area.","2012-06-01","07/02/2013","0","396.1264","No","190349"
"1","Eldridge Place","Chelsea","MA","2150","Archived","Trash on Public Property","Barrels left out","This is a weekly problem! Pick up is Monday a.m., it is Thursday. Please address the offenders and require an address painted on barrels.","2012-03-01","06/27/2012","12.2465","118.1181","No","161774"
"1","64 washinton Ave","Chelsea","MA","2150","Archived","Trash on Private Property","Trash","The trash situation in their side yard is so bad it's climbing up the hill towards the street .","2012-03-19","06/11/2013","100.2382","449.5118","No","166504"
"1","Chelsea High School","Chelsea","MA","2150","Archived","Other","Dangerous","Kids should be dropped off under bridge and walk safely on the walkway, instead, security watches them cross the RT 1 Carter St exit, a dangerous area in the morning. Also, parents drop kids off causing traffic jams, these are teenagers not young children, parents should pull into Carter Park and drop their children off to walk safely on the walkway to school.","2011-11-03","11/08/2011","0","4.7799","No","137051"
"1","16 Hy-Sil Ave","Chelsea","MA","2150","Archived","Code Enforcement Issues -- Private Property","Code Enforcement Issues -- Private Property","Dumpsters infront of building are not enclosed. They are too close to the property line. Covers swing into neighbors yard which is a danger to persons entering their vehicle & may damage their vehicle & a danger to the children in the yard. People dump trash at all hours of the night. Dumpsters smell as they are not being deodorized.","2012-04-27","06/27/2012","0","61.1146","Yes","178590"
"1","Papusas Washington ave and Blossom st","Chelsea","MA","2150","Archived","Business Impacts in Neighborhoods","parked truck","A parked truck has been in their parking lot for a long time now taking up space patrons should be using. As it is now, there is not enough space and folks park on the sidewalk and across the crosswalk.","2012-02-29","08/27/2014","13.1951","910.009","No","161496"
"1","44 hancock street","Chelsea","MA","2150","Archived","Street lights","Street light request","Requesting a street light be placed between 44 and 50 Hancock street. Very dark street and rising issues of drug dealing going on in that immediate area. Please address.","2011-10-03","02/09/2012","0.7389","128.6771","No","130214"
"1","48 Watts St","Chelsea","MA","2150","Archived","Pothole","Pothole","Large potholes at highland and watts","2012-01-25","01/30/2012","0","4.6604","Yes","153042"
"1","8 Lawrence Street","Chelsea","MA","2150","Archived","Pothole","Pot holes opening on street","There are few potholes that had been fixed before that need to be fixed again. Loose rocks are scattered all over the street","2011-10-19","11/08/2011","0.2313","20.1181","No","133809"
"1","111 Essex St","Chelsea","MA","2150","Archived","Street signs","Street signs","Street sweep sign pole on the ground..at corner of suffulk st and Lynn ext. St next to water hydrant. Thanks ; Mike S","2011-10-31","11/08/2011","7.766","7.8854","Yes","136296"
"1","331 Washington Ave","Chelsea","MA","2150","Archived","Street lights","Walk Signal","This is an extreme saftey concern. Walk signal does not give people enough time to cross street safely. Walk signal ends before children are half way across this results in near misses in the morning. I would hate to see a child hit by a vehicle again in this intersection!","2011-11-09","12/07/2011","0.0389","27.7056","No","138375"
"1","374 crescent ave","Chelsea","MA","2150","Archived","Trash on Public Property","Blocked sidewalk","This house has been blocking the sidewalk for weeks with construction materials to rebuild wall on property. You cannot even pass the on the sidewalk with the big boulders completely blocking the sidewalk. Who is responsible if a kid hurts themselves trying to get to the park?","2012-06-27","07/12/2012","13.241","15.0806","No","199881"
"1","161 SUMMIT AVE","Chelsea","MA","2150","Archived","Other","UNPAVED STREET","A section of Summit Ave(frm 161) to Franklin Ave was prepped for paving over 2 WEEKS AGO and there is NO SIGNAGE AT ALL before 161 Summit telling you that you are about to drive down a 3 inch drop in pavement. Manhole covers are protruding in the entire area and the road is deteriorating all along the UNPAVED section making it very dangerous to drive that block-especially at NIGHT. When are they coming back to FINISH what was supposed to be a ONE WEEK job??","2011-10-20","11/08/2011","5.7889","18.7472","No","134138"
"1","77 Pearl st","Chelsea","MA","2150","Archived","Street signs","Street Signs","City manager please this main street of chelsea need more Traffic Signs I have living here for around 20 years and cars rise here up to 60mph we need more signs about traffic speed around this street please mr Jay im a citizent tax payer and i would like to see more signs around my street thank you","2011-11-09","01/30/2012","0.2729","82.0764","No","138234"
"1","157-187 2nd St","Chelsea","MA","2150","Archived","Street lights","Street lights","Burned out lighting bulb ..Thanks ;Mike. S","2011-11-09","12/09/2011","0.1514","29.7958","Yes","138302"
"1","Carter St","Chelsea","MA","2150","Archived","Other","Missing crosswalk","When the off-ramps (onto Carter St. near the pool) were repaved, the crosswalks were not repainted.","2011-11-26","12/06/2011","0","10.0792","No","141322"
"1","110 Chestnut St","Chelsea","MA","2150","Archived","Graffiti on Public Property","Graffiti-Public Property","Tag on the Tobin - already forwarded it to one person with the state, but thought you might have a better contact for maintenance.","2012-01-17","03/19/2012","0.2035","62.1882","Yes","150973"
